Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season,Playoffs
54,Kenneth Faried,C,29,HOU,6,56,23.0,.767,.077,.462,6.2,35.1,21.1,5.9,1.8,0.0,0.0,12.4,,0.3,0.1,0.4,.302,,4.2,2.0,6.3,0.1,2019,True
55,Derrick Favors,C,27,UTA,5,103,27.9,.665,.083,.528,14.7,23.3,18.9,7.8,1.9,10.0,10.1,20.5,,0.3,0.2,0.5,.245,,4.1,3.7,7.9,0.3,2019,True
56,Raymond Felton,PG,34,OKC,5,57,4.2,.396,.615,.154,0.0,5.8,2.9,7.3,3.4,1.5,12.6,11.9,,-0.1,0.1,0.0,-0.022,,-6.3,2.5,-3.8,0.0,2019,True
57,Terrance Ferguson,SG,20,OKC,5,128,2.6,.500,.720,.000,1.7,8.6,5.1,6.5,0.8,0.0,16.7,10.0,,-0.1,0.0,0.0,-0.010,,-5.3,0.5,-4.8,-0.1,2019,True
58,Bryn Forbes,SG,25,SAS,7,212,11.5,.625,.554,.161,0.5,12.1,6.3,4.8,0.2,0.4,4.8,13.8,,0.3,0.0,0.4,.080,,-0.2,-0.6,-0.8,0.1,2019,True
59,Evan Fournier,SG,26,ORL,5,175,5.0,.427,.493,.116,1.7,8.7,5.0,10.7,2.0,0.0,14.2,21.4,,-0.5,0.1,-0.3,-0.092,,-4.4,-0.5,-4.8,-0.1,2019,True
60,Melvin Frazier,SG,22,ORL,3,15,13.5,.425,.000,.400,6.8,23.5,14.5,0.0,3.4,0.0,0.0,17.4,,0.0,0.0,0.0,.036,,-1.6,3.1,1.5,0.0,2019,True
61,Tim Frazier,PG,28,MIL,11,40,22.9,.756,.462,.154,0.0,21.8,11.3,40.5,1.2,0.0,17.8,18.2,,0.2,0.1,0.2,.284,,2.5,4.1,6.6,0.1,2019,True
62,Enes Freedom,C,26,POR,16,461,16.9,.555,.027,.281,11.9,23.5,17.7,6.5,1.2,1.6,13.7,17.9,,0.6,0.5,1.0,.106,,1.0,-1.3,-0.3,0.2,2019,True
63,Danilo Gallinari,SF,30,LAC,6,201,13.6,.474,.387,.297,4.7,16.5,10.3,12.5,1.9,0.4,8.1,28.3,,-0.1,-0.1,-0.1,-0.035,,0.6,-3.0,-2.4,0.0,2019,True
64,Langston Galloway,SG,27,DET,4,110,6.8,.456,.735,.000,1.6,13.8,6.9,5.3,0.9,3.3,5.6,13.8,,-0.1,0.0,-0.1,-0.051,,-2.5,-1.0,-3.5,0.0,2019,True
65,Marc Gasol,C,34,TOR,24,735,13.5,.564,.494,.256,2.4,20.7,11.6,14.7,1.4,3.5,9.5,13.7,,0.9,1.3,2.3,.149,,0.3,3.1,3.4,1.0,2019,True
66,Rudy Gay,PF,32,SAS,7,179,15.5,.503,.271,.243,7.9,22.1,15.0,10.1,0.9,2.2,11.4,22.7,,0.1,0.1,0.2,.052,,0.9,-0.5,0.3,0.1,2019,True
67,Paul George,SF,28,OKC,5,204,18.4,.583,.465,.485,3.1,20.0,11.4,15.4,1.7,0.4,14.6,30.1,,0.2,0.2,0.4,.096,,2.6,0.6,3.2,0.3,2019,True
68,Shai Gilgeous-Alexander,PG,20,LAC,6,173,16.6,.596,.300,.333,2.4,8.2,5.2,16.4,1.6,2.4,6.8,17.8,,0.4,-0.1,0.3,.086,,2.1,0.8,2.9,0.2,2019,True
69,Rudy Gobert,C,26,UTA,5,152,20.6,.665,.000,.719,15.3,20.1,17.6,7.7,1.0,9.8,17.6,14.4,,0.3,0.2,0.6,.183,,0.8,2.2,3.0,0.2,2019,True
70,Aaron Gordon,PF,23,ORL,5,164,15.3,.540,.323,.306,6.8,17.9,12.0,22.2,1.8,0.6,15.6,22.6,,0.0,0.1,0.2,.047,,1.7,1.8,3.5,0.2,2019,True
